100,69,
113,19,
115,98,
217,129,
229,223,
254,59,
272,5,
287,150,
299,83,
311,86,
320,86,
320,311,
329,27,
329,281,
332,107,
339,322,
360,322,
360,339,
379,52,
401,231,
401,342,
403,387,
408,13,
413,8,
418,7,
419,118,
428,371,
431,20,
442,152,
444,43,
444,347,
467,148,
483,421,
485,93,
487,126,
489,446,
514,369,
520,231,
534,287,
535,515,
538,266,
555,363,
561,484,
563,208,
565,266,
568,513,
571,129,
572,559,
587,442,
589,495,
593,311,
595,284,
618,508,
628,462,
629,113,
645,352,
646,45,
659,143,
661,382,
673,107,
685,651,
700,558,
702,583,
707,648,
709,118,
730,640,
731,129,
733,468,
748,240,
750,270,
755,405,
759,105,
760,476,
764,699,
779,146,
795,175,
801,521,
803,421,
811,56,
813,139,
822,396,
837,433,
837,579,
840,428,
843,412,
845,37,
846,244,
847,200,
852,596,
855,479,
858,33,
863,265,
863,490,
872,183,
873,31,
875,556,
876,243,
880,244,
886,392,
887,753,
894,515,
894,535,
898,367,
900,814,
905,770,
907,8,
908,488,
909,95,
912,405,
912,755,
919,33,
927,486,
949,903,
950,637,
960,76,
967,256,
967,443,
970,945,
972,271,
982,564,
983,960,
984,686,
990,921,
991,261,
994,420,
998,34,
1012,300,
1016,310,
1017,867,
1032,89,
1032,213,
1032,876,
1036,773,
1048,701,
1056,22,
1063,183,
1069,492,
1075,525,
1081,595,
1084,650,
1087,865,
1088,417,
1094,609,
1094,925,
1097,229,
1099,58,
1103,723,
1104,659,
1105,226,
1106,1008,
1115,900,
1117,368,
1117,968,
1118,1047,
1119,1108,
1156,226,
1160,715,
1163,1023,
1164,446,
1171,992,
1173,1049,
1187,728,
1187,1031,
1188,71,
1192,470,
1195,350,
1196,66,
1199,1086,
1200,383,
1202,148,
1203,817,
1206,507,
1210,734,
1218,1093,
1221,64,
1222,1092,
1231,1189,
1234,1170,
1243,854,
1244,877,
1245,601,
1256,1062,
1258,793,
1260,447,
1271,498,
1276,578,
1276,791,
1280,614,
1281,43,
1281,347,
1281,444,
1282,615,
1285,875,
1287,313,
1294,858,
1299,835,
1306,1023,
1308,155,
1309,154,
1315,504,
1315,881,
1317,764,
1318,899,
1320,619,
1324,1273,
1326,899,
1329,55,
1329,357,
1329,419,
1333,94,
1333,458,
1334,203,
1336,1093,
1336,1218,
1345,864,
1353,1279,
1360,85,
1362,1220,
1368,252,
1370,339,
1376,647,
1379,828,
1379,1141,
1381,1215,
1393,772,
1398,25,
1399,1000,
1403,71,
1410,341,
1411,60,
1412,352,
1413,416,
1416,67,
1419,98,
